"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 13 17:41:15 GMT 2023","Wed Dec 13 17:41:25 GMT 2023","9393","","","","","","Perder juego",""
"passed","Wed Dec 13 17:40:57 GMT 2023","Wed Dec 13 17:41:05 GMT 2023","8259","","","","","","Ganar juego sin fallos",""
"passed","Wed Dec 13 17:41:05 GMT 2023","Wed Dec 13 17:41:15 GMT 2023","9973","","","","","","Ganar juego con fallos",""
"broken","Wed Dec 13 17:41:25 GMT 2023","Wed Dec 13 17:41:42 GMT 2023","16809","","","","","","Verificar figura de ahorcado",""
"passed","Wed Dec 13 17:40:51 GMT 2023","Wed Dec 13 17:40:57 GMT 2023","5694","","","","","","Salir del juego",""
