"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 13 16:55:59 GMT 2023","Wed Dec 13 16:56:07 GMT 2023","8341","","","","","","Ganar juego sin fallos",""
"passed","Wed Dec 13 16:55:53 GMT 2023","Wed Dec 13 16:55:59 GMT 2023","5663","","","","","","Salir del juego",""
"passed","Wed Dec 13 16:56:07 GMT 2023","Wed Dec 13 16:56:17 GMT 2023","10011","","","","","","Ganar juego con fallos",""
"passed","Wed Dec 13 16:56:17 GMT 2023","Wed Dec 13 16:56:27 GMT 2023","9434","","","","","","Perder juego",""
"passed","Wed Dec 13 16:56:27 GMT 2023","Wed Dec 13 16:56:36 GMT 2023","8995","","","","","","Verificar figura de ahorcado",""
