"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 18 21:16:18 GMT 2023","Mon Dec 18 21:16:36 GMT 2023","18505","","","","","","Ganar juego con fallos",""
"passed","Mon Dec 18 21:15:56 GMT 2023","Mon Dec 18 21:16:01 GMT 2023","4897","","","","","","Salir del juego",""
"broken","Mon Dec 18 21:16:01 GMT 2023","Mon Dec 18 21:16:18 GMT 2023","16676","","","","","","Ganar juego sin fallos",""
"broken","Mon Dec 18 21:16:55 GMT 2023","Mon Dec 18 21:17:12 GMT 2023","16777","","","","","","Verificar figura de ahorcado",""
"broken","Mon Dec 18 21:16:36 GMT 2023","Mon Dec 18 21:16:55 GMT 2023","18486","","","","","","Perder juego",""
