"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 18 21:43:45 GMT 2023","Mon Dec 18 21:43:54 GMT 2023","9328","","","","","","Perder juego",""
"passed","Mon Dec 18 21:43:22 GMT 2023","Mon Dec 18 21:43:27 GMT 2023","5284","","","","","","Salir del juego",""
"passed","Mon Dec 18 21:43:27 GMT 2023","Mon Dec 18 21:43:35 GMT 2023","8197","","","","","","Ganar juego sin fallos",""
"passed","Mon Dec 18 21:43:54 GMT 2023","Mon Dec 18 21:44:03 GMT 2023","9105","","","","","","Verificar figura de ahorcado",""
"passed","Mon Dec 18 21:43:35 GMT 2023","Mon Dec 18 21:43:45 GMT 2023","9904","","","","","","Ganar juego con fallos",""
