"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 18 21:12:25 GMT 2023","Mon Dec 18 21:12:33 GMT 2023","7598","","","","","","Ganar juego sin fallos",""
"passed","Mon Dec 18 21:12:42 GMT 2023","Mon Dec 18 21:12:52 GMT 2023","9212","","","","","","Perder juego",""
"passed","Mon Dec 18 21:12:33 GMT 2023","Mon Dec 18 21:12:42 GMT 2023","9492","","","","","","Ganar juego con fallos",""
"passed","Mon Dec 18 21:12:52 GMT 2023","Mon Dec 18 21:13:01 GMT 2023","8959","","","","","","Verificar figura de ahorcado",""
"passed","Mon Dec 18 21:12:20 GMT 2023","Mon Dec 18 21:12:25 GMT 2023","4874","","","","","","Salir del juego",""
